339.893,2.44829,170.557,11338239,0.029166
555.424,2.43271,1.37671,6554111,0.0210261
4.10884,2.89722,160.299,8454655,0.0431267
370.113,3.05459,49.9157,16646655,0.0513155
717.131,3.16438,129.114,16056831,0.0501272
850.347,2.92728,52.4834,14942719,0.0380286
969.017,2.86207,181.024,5112319,0.0339657
969.017,2.86207,16.6278,5112319,0.0339657
282.221,4.09086,356.651,10420735,0.05252
904.975,4.22586,314.871,9568767,0.0333834
322.847,4.4962,196.357,15794687,0.056173
511.556,4.51637,318.364,12124671,0.0218108
563.9,4.55616,349.366,8716799,0.0362314
563.9,4.55616,162.286,8716799,0.0362314
616.491,4.44575,326.439,3932671,0.0156821
758.969,4.71365,10.6136,11862527,0.0435959
31.4924,4.88503,346.333,7537151,0.0263703
81.8037,5.52643,147.909,6488575,0.0533038
81.8037,5.52643,31.3738,6488575,0.0533038
140.468,5.65509,155.322,7668223,0.0153066
140.468,5.65509,18.265,7668223,0.0153066
438.805,5.39972,228.544,5112319,0.0625811
438.805,5.39972,18.608,5112319,0.0625811
308.129,5.78349,327.756,1966591,0.0655866
308.129,5.78349,126.879,1966591,0.0655866
308.129,5.78349,84.5776,1966591,0.0655866
424.969,6.01981,38.5639,11010559,0.0380568
460.548,5.76158,337.795,11731455,0.0578333
460.548,5.76158,117.238,11731455,0.0578333
294.032,6.52039,147.499,10682879,0.0212469
375.906,6.98544,167.806,9503231,0.0359768
594.907,6.79434,341.33,10682879,0.0465858
818.07,7.00841,169.325,1835519,0.0320354
55.6799,7.3258,49.1233,11928063,0.0630379
526.182,7.52617,218.426,12124671,0.0248409
526.182,7.52617,159.154,12124671,0.0248409
12.5475,8.10087,352.662,12386815,0.0923934
12.5475,8.10087,153.76,12386815,0.0923934
324.523,7.96354,198.631,4391423,0.0406563
352.62,8.32881,284.914,7143935,0.0491677
352.62,8.32881,42.8718,7143935,0.0491677
879.82,8.42016,351.915,7995903,0.0224626
215.002,8.94077,350.924,15794687,0.0334056
781.911,9.09308,12.0523,7471615,0.0615118
924.488,9.18634,40.0589,2621951,0.0407539
422.926,9.46328,13.9241,8520191,0.0405286
257.934,10.7021,238.106,7995903,0.032565
716.76,10.775,284.647,3146239,0.0281007
761.645,11.1447,329.01,2556415,0.0680498
761.645,11.1447,170.06,2556415,0.0680498
707.452,11.6564,224.061,16056831,0.0258971
346.408,12.0158,335.081,721663,0.0431178
