0, 0, 0, 5, 65, 9, 0, 0, 96, 1, 1, 2, 8, 2, 2, 16, 207, 7, 0, 0, 0, 0, 0, 70, 146, 10, 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 80, 22, 0, 0, 159, 16, 3, 6, 21, 3, 0, 5, 207, 39, 0, 0, 0, 0, 0, 23, 72, 12, 0, 0, 0, 0, 0, 1, 0, 0, 0, 29, 87, 4, 0, 0, 163, 13, 1, 8, 33, 3, 0, 16, 207, 55, 0, 0, 0, 0, 0, 12, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77, 1, 0, 0, 58, 18, 0, 2, 17, 2, 0, 8, 47, 28, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
25, 14, 4, 13, 9, 1, 0, 5, 26, 16, 12, 111, 33, 0, 0, 1, 164, 23, 5, 15, 3, 0, 0, 34, 23, 0, 0, 0, 0, 0, 0, 11, 4, 25, 31, 44, 26, 0, 0, 0, 80, 44, 17, 152, 118, 2, 0, 2, 164, 69, 5, 10, 3, 0, 0, 17, 28, 1, 0, 0, 0, 0, 0, 4, 0, 4, 79, 77, 20, 1, 0, 0, 131, 11, 34, 89, 107, 6, 1, 15, 164, 22, 1, 1, 4, 2, 0, 37, 13, 0, 0, 0, 0, 0, 0, 1, 0, 1, 30, 45, 8, 27, 58, 2, 92, 9, 21, 28, 3, 24, 81, 39, 164, 26, 1, 0, 0, 0, 4, 33, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 7, 8, 6, 1, 1, 10, 54, 3, 1, 2, 7, 7, 29, 145, 6, 0, 0, 3, 54, 35, 28, 60, 0, 0, 0, 2, 1, 0, 0, 0, 103, 25, 18, 29, 11, 1, 0, 10, 145, 44, 3, 7, 23, 7, 11, 82, 11, 3, 0, 12, 145, 23, 9, 11, 1, 0, 0, 1, 2, 0, 0, 2, 101, 3, 1, 6, 13, 5, 11, 105, 145, 13, 0, 2, 30, 6, 2, 124, 13, 1, 0, 3, 145, 19, 0, 4, 8, 0, 0, 0, 0, 0, 5, 6, 145, 1, 0, 0, 0, 0, 4, 79, 145, 1, 0, 1, 36, 8, 1, 100, 3, 0, 0, 6, 145, 15, 1, 3
0, 0, 0, 0, 0, 0, 0, 0, 125, 8, 0, 0, 0, 0, 0, 10, 187, 14, 0, 0, 0, 0, 0, 30, 64, 1, 0, 3, 34, 1, 0, 4, 1, 0, 0, 0, 0, 0, 2, 1, 145, 17, 0, 0, 0, 0, 10, 22, 187, 41, 0, 0, 0, 0, 0, 11, 86, 3, 0, 1, 45, 4, 0, 2, 4, 24, 3, 0, 0, 0, 2, 2, 100, 77, 4, 0, 0, 0, 12, 48, 187, 22, 0, 0, 0, 0, 1, 48, 86, 0, 0, 2, 45, 2, 0, 5, 1, 23, 9, 0, 0, 0, 3, 1, 89, 128, 16, 0, 0, 0, 3, 10, 187, 65, 0, 0, 0, 0, 0, 7, 66, 2, 0, 2, 38, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 40, 1, 0, 2, 16, 20, 5, 14, 185, 3, 0, 0, 2, 4, 3, 44, 134, 19, 1, 0, 0, 0, 0, 15, 0, 0, 0, 1, 7, 1, 0, 0, 61, 10, 1, 21, 92, 6, 0, 3, 185, 36, 1, 4, 8, 1, 0, 10, 110, 58, 3, 0, 0, 0, 0, 3, 0, 0, 1, 13, 15, 1, 0, 0, 83, 3, 1, 39, 118, 1, 0, 7, 185, 10, 0, 2, 8, 0, 0, 47, 115, 10, 0, 0, 0, 0, 0, 38, 0, 0, 0, 13, 58, 24, 0, 0, 89, 1, 0, 28, 73, 3, 0, 16, 185, 1, 0, 1, 2, 0, 2, 88, 56, 0, 0, 0, 0, 0, 13, 54
4, 11, 4, 0, 0, 0, 0, 0, 115, 139, 33, 4, 11, 3, 0, 0, 25, 22, 1, 12, 130, 15, 0, 0, 1, 4, 5, 7, 139, 20, 0, 0, 12, 3, 0, 0, 0, 0, 1, 11, 139, 53, 1, 1, 2, 2, 3, 80, 81, 13, 1, 13, 103, 39, 2, 12, 0, 0, 1, 4, 139, 73, 0, 0, 6, 1, 0, 0, 0, 0, 1, 6, 139, 44, 0, 0, 2, 2, 2, 40, 93, 17, 0, 1, 89, 33, 1, 5, 0, 0, 0, 0, 139, 94, 0, 0, 1, 0, 0, 0, 0, 3, 4, 1, 139, 18, 0, 0, 0, 5, 9, 14, 87, 16, 1, 4, 51, 8, 0, 0, 0, 0, 0, 12, 131, 20, 0, 0
85, 0, 0, 2, 20, 10, 3, 64, 116, 20, 1, 9, 47, 19, 2, 9, 182, 52, 0, 0, 1, 1, 3, 21, 46, 9, 0, 0, 0, 0, 14, 21, 69, 60, 12, 15, 24, 8, 2, 23, 120, 18, 6, 34, 46, 23, 3, 8, 182, 68, 0, 1, 1, 1, 1, 17, 62, 26, 0, 0, 0, 0, 0, 4, 75, 46, 3, 5, 39, 6, 3, 47, 107, 9, 2, 5, 9, 46, 18, 41, 182, 32, 0, 0, 0, 4, 4, 62, 37, 6, 0, 0, 0, 0, 0, 10, 42, 49, 14, 6, 10, 3, 2, 51, 47, 29, 18, 32, 7, 8, 5, 17, 182, 106, 3, 3, 1, 1, 1, 5, 8, 8, 0, 0, 0, 0, 0, 0
12, 1, 0, 0, 0, 0, 0, 6, 20, 15, 4, 0, 0, 0, 0, 1, 56, 17, 1, 0, 0, 0, 0, 3, 9, 0, 0, 0, 0, 0, 1, 6, 23, 29, 67, 3, 1, 0, 0, 10, 74, 97, 136, 1, 0, 0, 2, 10, 199, 122, 18, 0, 0, 0, 1, 27, 81, 7, 5, 5, 1, 4, 14, 34, 14, 5, 32, 4, 4, 4, 2, 21, 137, 17, 31, 0, 0, 0, 13, 66, 199, 55, 5, 2, 0, 0, 1, 47, 92, 62, 26, 17, 3, 1, 2, 4, 30, 8, 1, 3, 9, 1, 0, 3, 146, 15, 1, 0, 0, 0, 0, 10, 199, 35, 0, 0, 0, 0, 0, 8, 75, 23, 3, 6, 8, 2, 0, 2
0, 0, 0, 0, 3, 1, 2, 0, 10, 0, 0, 1, 10, 5, 13, 57, 34, 0, 0, 0, 6, 7, 14, 123, 2, 0, 0, 3, 119, 18, 3, 10, 11, 6, 9, 11, 2, 0, 0, 2, 132, 12, 5, 5, 4, 2, 19, 140, 19, 1, 0, 2, 65, 52, 53, 113, 0, 0, 0, 20, 140, 16, 1, 0, 33, 9, 8, 18, 12, 2, 1, 7, 140, 46, 4, 6, 6, 2, 2, 43, 61, 11, 0, 16, 140, 14, 5, 13, 0, 0, 0, 9, 140, 13, 0, 0, 31, 0, 0, 2, 5, 2, 6, 51, 140, 2, 0, 0, 6, 2, 2, 122, 38, 1, 0, 1, 127, 14, 1, 13, 0, 0, 0, 1, 140, 23, 0, 0
0, 36, 153, 0, 0, 0, 0, 0, 2, 52, 189, 2, 0, 0, 0, 0, 1, 22, 189, 12, 1, 0, 0, 0, 0, 52, 189, 4, 0, 0, 0, 0, 16, 41, 60, 1, 0, 0, 0, 0, 114, 73, 108, 3, 1, 2, 2, 17, 12, 6, 101, 38, 45, 13, 4, 9, 5, 17, 120, 24, 20, 0, 0, 1, 52, 9, 7, 4, 0, 1, 1, 10, 176, 33, 16, 10, 1, 0, 0, 14, 8, 8, 20, 83, 37, 1, 0, 2, 18, 9, 4, 28, 16, 0, 0, 1, 36, 1, 0, 0, 0, 4, 7, 19, 61, 17, 16, 11, 0, 0, 0, 10, 1, 2, 19, 66, 4, 0, 0, 0, 31, 10, 6, 19, 2, 0, 0, 1
